--------- beginning of main
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: Timeout while retrieving suggestContentSelections
03-03 09:01:17.001  1075  3734 E AiAiSuggestUi: java.util.concurrent.TimeoutException
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.material3.SurfaceKt.Surface-T9BRK9s(Surface.kt:112)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity$onCreate$1$1.invoke(MainActivity.kt:42)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity$onCreate$1$1.invoke(MainActivity.kt:41)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionLocalKt.CompositionLocalProvider(CompositionLocal.kt:248)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.material3.TextKt.ProvideTextStyle(Text.kt:352)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.material3.MaterialThemeKt$MaterialTheme$1.invoke(MaterialTheme.kt:72)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.material3.MaterialThemeKt$MaterialTheme$1.invoke(MaterialTheme.kt:71)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.887  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionLocalKt.CompositionLocalProvider(CompositionLocal.kt:228)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.material3.MaterialThemeKt.MaterialTheme(MaterialTheme.kt:64)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.theme.ThemeKt.AITranscribeTheme(Theme.kt:54)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity$onCreate$1.invoke(MainActivity.kt:41)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at com.georgernstgraf.aitranscribe.ui.screen.MainActivity$onCreate$1.invoke(MainActivity.kt:40)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.ComposeView.Content(ComposeView.android.kt:428)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.AbstractComposeView$ensureCompositionCreated$1.invoke(ComposeView.android.kt:252)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.AbstractComposeView$ensureCompositionCreated$1.invoke(ComposeView.android.kt:251)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionLocalKt.CompositionLocalProvider(CompositionLocal.kt:228)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.CompositionLocalsKt.ProvideCommonCompositionLocals(CompositionLocals.kt:186)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$3.invoke(AndroidCompositionLocals.android.kt:119)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.AndroidCompositionLocals_androidKt$ProvideAndroidCompositionLocals$3.invoke(AndroidCompositionLocals.android.kt:118)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionLocalKt.CompositionLocalProvider(CompositionLocal.kt:228)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.AndroidCompositionLocals_androidKt.ProvideAndroidCompositionLocals(AndroidCompositionLocals.android.kt:110)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1$1$2.invoke(Wrapper.android.kt:139)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1$1$2.invoke(Wrapper.android.kt:138)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionLocalKt.CompositionLocalProvider(CompositionLocal.kt:248)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1$1.invoke(Wrapper.android.kt:138)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1$1.invoke(Wrapper.android.kt:123)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:109)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.internal.ComposableLambdaImpl.invoke(ComposableLambda.jvm.kt:35)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.ActualJvm_jvmKt.invokeComposable(ActualJvm.jvm.kt:90)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.ComposerImpl.doCompose(Composer.kt:3302)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.ComposerImpl.composeContent$runtime_release(Composer.kt:3235)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionImpl.composeContent(Composition.kt:725)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.Recomposer.composeInitial$runtime_release(Recomposer.kt:1071)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionImpl.composeInitial(Composition.kt:633)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.runtime.CompositionImpl.setContent(Composition.kt:619)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1.invoke(Wrapper.android.kt:123)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1.invoke(Wrapper.android.kt:114)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.AndroidComposeView.setOnViewTreeOwnersAvailable(AndroidComposeView.android.kt:1289)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition.setContent(Wrapper.android.kt:114)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition.onStateChanged(Wrapper.android.kt:164)
03-03 09:01:21.891  3793  3793 E AndroidRuntime: 	at androidx.lifecycle.LifecycleRegistry$ObserverWithState.dispatchEvent(LifecycleRegistry.kt:322)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at androidx.lifecycle.LifecycleRegistry.addObserver(LifecycleRegistry.kt:199)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1.invoke(Wrapper.android.kt:121)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.WrappedComposition$setContent$1.invoke(Wrapper.android.kt:114)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at androidx.compose.ui.platform.AndroidComposeView.onAttachedToWindow(AndroidComposeView.android.kt:1364)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.View.dispatchAttachedToWindow(View.java:23294)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3517)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3524)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3524)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3524)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewGroup.dispatchAttachedToWindow(ViewGroup.java:3524)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewRootImpl.performTraversals(ViewRootImpl.java:3667)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewRootImpl.doTraversal(ViewRootImpl.java:3127)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.ViewRootImpl$TraversalRunnable.run(ViewRootImpl.java:10807)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1630)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.Choreographer$CallbackRecord.run(Choreographer.java:1639)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.Choreographer.doCallbacks(Choreographer.java:1235)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.Choreographer.doFrame(Choreographer.java:1164)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.view.Choreographer$FrameDisplayEventReceiver.run(Choreographer.java:1613)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.os.Handler.handleCallback(Handler.java:1070)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.os.Handler.dispatchMessage(Handler.java:125)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.os.Looper.dispatchMessage(Looper.java:333)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.os.Looper.loopOnce(Looper.java:263)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.os.Looper.loop(Looper.java:367)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.app.ActivityThread.main(ActivityThread.java:9287)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at java.lang.reflect.Method.invoke(Native Method)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:566)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:929)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: Caused by: android.os.RemoteException: Remote stack trace:
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at com.android.server.am.BroadcastController.registerReceiverWithFeatureTraced(BroadcastController.java:477)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at com.android.server.am.BroadcastController.registerReceiverWithFeature(BroadcastController.java:280)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at com.android.server.am.ActivityManagerService.registerReceiverWithFeature(ActivityManagerService.java:14459)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at android.app.IActivityManager$Stub.onTransact(IActivityManager.java:2867)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 	at com.android.server.am.ActivityManagerService.onTransact(ActivityManagerService.java:2768)
03-03 09:01:21.893  3793  3793 E AndroidRuntime: 
--------- beginning of system
03-03 09:01:21.918   689  1680 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
03-03 09:01:22.035  1075  1688 E FrameEvents: addRelease: Did not find frame.
03-03 09:01:25.994   689  1173 E TransitionChain: Can't collect into a chain with no transition
03-03 09:01:25.994   689  1173 E TransitionChain: Can't collect into a chain with no transition
03-03 09:01:29.008   689  1680 E TaskPersister: File error accessing recents directory (directory doesn't exist?).
03-03 09:01:39.311   689  1653 E AppOps  : Bad call made by uid 1000. Package "com.google.android.googlequicksearchbox" does not belong to uid 1000.
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: com.android.dialer.voicemail.service.impl.vvmclients.rest.RestVvmCarrierService.getMsisdn:420 Retrieved phone number in an unexpected format: +15551234567 [CONTEXT disable_client_error_logging=true ]
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: adis: MEDIUM
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at a.dC(PG:15)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at smu.apply(PG:1019)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at acnt.apply(PG:13)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at advm.d(PG:3)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at advn.run(PG:38)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at xlk.run(PG:7)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at adoy.run(PG:44)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at wvj.run(PG:254)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at tif.run(PG:267)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at java.lang.Thread.run(Thread.java:1563)
03-03 09:01:41.814  2068  2354 E DialerRestVvmCarrierService: 	at xmm.run(PG:61)
03-03 09:02:13.683   689  1833 E WifiService: Attempt to retrieve passpoint with invalid scanResult List
03-03 09:02:13.687  3368  3978 E WifiScanner: listener does not exist
03-03 09:03:40.310  4025  4047 E ashmem  : Pinning is deprecated since Android Q. Please use trim or other methods.
03-03 09:03:41.345  1073  1196 E SatelliteAppTracker: packageName: com.google.android.apps.photos, value: null
03-03 09:03:41.421  1073  1073 E SmsApplication: com.google.android.apps.messaging lost android:read_cell_broadcasts:  (fixing)
03-03 09:03:41.714   689  2787 E RoleControllerServiceImpl: Default/fallback role holder package doesn't qualify for the role, package: com.google.android.gms.supervision, role: android.app.role.SYSTEM_SUPERVISION, user: 0
03-03 09:03:41.791   689  2787 E RoleControllerServiceImpl: Default/fallback role holder package doesn't qualify for the role, package: com.google.android.gms, role: android.app.role.SYSTEM_DEPENDENCY_INSTALLER, user: 0
03-03 09:03:41.851   689  2787 E RoleControllerServiceImpl: Default/fallback role holder package doesn't qualify for the role, package: com.google.android.gms, role: android.app.role.WALLET, user: 0
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: com.android.dialer.voicemail.service.impl.vvmclients.rest.RestVvmCarrierService.getMsisdn:420 Retrieved phone number in an unexpected format: +15551234567 [CONTEXT disable_client_error_logging=true ]
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: adis: MEDIUM
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at a.dC(PG:15)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at smu.apply(PG:1019)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at acnt.apply(PG:13)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at advm.d(PG:3)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at advn.run(PG:38)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at xlk.run(PG:7)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at adoy.run(PG:44)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at wvj.run(PG:254)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at tif.run(PG:267)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at java.lang.Thread.run(Thread.java:1563)
03-03 09:03:41.976  2068  2316 E DialerRestVvmCarrierService: 	at xmm.run(PG:61)
03-03 09:03:42.130  1073  1263 E SmsApplication: com.google.android.apps.messaging lost android:read_cell_broadcasts:  (fixing)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: com.android.dialer.voicemail.service.impl.vvmclients.rest.RestVvmCarrierService.getMsisdn:420 Retrieved phone number in an unexpected format: +15551234567 [CONTEXT disable_client_error_logging=true ]
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: adis: MEDIUM
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at a.dC(PG:15)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at smu.apply(PG:1019)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at acnt.apply(PG:13)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at advm.d(PG:3)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at advn.run(PG:38)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at xlk.run(PG:7)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at adoy.run(PG:44)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at wvj.run(PG:254)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at tif.run(PG:267)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at java.lang.Thread.run(Thread.java:1563)
03-03 09:03:42.394  2068  2316 E DialerRestVvmCarrierService: 	at xmm.run(PG:61)
03-03 09:03:42.602  2068  4073 E libbinder.IPCThreadState: Binder transaction failure. id: 153696, cmd: BR_FROZEN_REPLY (29202), error: 0 (Success)
03-03 09:03:42.602  2068  4073 E JavaBinder: !!! FAILED BINDER TRANSACTION !!!  (parcel size = 84)
03-03 09:03:42.661   689  1169 E libbinder.IPCThreadState: Binder transaction failure. id: 153777, cmd: BR_FROZEN_REPLY (29202), error: 0 (Success)
03-03 09:03:42.710  2068  2354 E advr    : Got more than one input Future failure. Logging failures after the first
03-03 09:03:42.710  2068  2354 E advr    : abth: android.os.DeadObjectException: Transaction failed on small parcel; remote process probably died, but this could also be caused by running out of binder buffer space
03-03 09:03:42.710  2068  2354 E advr    : 	at achj.ag(PG:70)
03-03 09:03:42.710  2068  2354 E advr    : 	at achj.f(PG:20)
03-03 09:03:42.710  2068  2354 E advr    : 	at abvi.a(PG:19)
03-03 09:03:42.710  2068  2354 E advr    : 	at aaoq.d(PG:6)
03-03 09:03:42.710  2068  2354 E advr    : 	at aaos.run(PG:74)
03-03 09:03:42.710  2068  2354 E advr    : 	at acnv.run(PG:21)
03-03 09:03:42.710  2068  2354 E advr    : 	at xlk.run(PG:7)
03-03 09:03:42.710  2068  2354 E advr    : 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1154)
03-03 09:03:42.710  2068  2354 E advr    : 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:652)
03-03 09:03:42.710  2068  2354 E advr    : 	at wvj.run(PG:254)
